symbol,tradePrice
IEC,12.34
RPF,21.64
LMRK,12.4
002429,6.19
DG,195.18
ESSA,224.0
FPH,29.5
BCD,27.9
000652,4.13
051600A,27050.0
JKG,245.7036
300495,5.56
SCIB,1.78
1266,0.38
1803,817.0
BDX,319.0
QRI,1.6
002597,45.28
BN4,5.03
SQQQ,13.63
000568,247.01
LRE,6.18
CRVL,102.32
AMA,5.35
3653,1576.0
300124,89.85
ARD,24.0
603916,29.97
CMCO,49.02
300151,29.78
002051,6.65
2707,154.0
1587,26.0
1,59.1
EVK,28.4
000897,2.29
300400,11.75
382,8.49
002878,18.16
HMED,161.7
WGO,0.23
NTRR,0.00725
CSL,267.96
3681,3.95
SAN,2.9625
EBLU,41.0291
1833,2696.0
6820,2710.0
ENS,91.31
7647,34.0
159985,1.317
300032,5.68
3030,693.0
300125,14.8
2489,919.0
SQ,1.93
ORLY,453.97
002082,11.55
BAT,13.5
300066,4.58
VBK,286.68
002986,33.53
AAL,0.349
300437,8.01
ALCAR,430.0
002688,6.0
300625,15.3
688077,43.3
4927,2471.0
000919,6.04
6165,574.0
002356,1.31
002215,5.75
1696,6.08
MOTILALOFS,610.8
IGLB,68.17
6368,5850.0
DIGA.F,0.0175
300611,9.15
SFL,7.83
1925,3128.0
6752,1424.5
ADI,157.7
PSI,9.2
LEG,43.37
URGN,21.48
PFC,124.4
002206,5.21
002633,6.25
4540,59.9
130740A,4960.0
WOR,67.03
000998,19.03
002105,7.64
002028,25.4
FIF,11.4
BSL,16.85
GDXJ,49.34
300564,24.79
500339,166.9
CAN,0.625
GAPW.B,55.0
SRC,43.57
6666,1386.0
002150,5.78
FOUR,81.25
KORU,43.35
002209,5.96
8016,175.0
000952,7.33
GCI,1.97
300191,19.33
300847,20.66
300112,8.59
300368,13.93
227840A,12500.0
9052,2025.0
002879,13.47
002330,5.99
002960,40.5
CCL,26.46
000900,4.25
3320,4.71
CLG,5.37
SIKA,248.5
7895,577.0
600885,54.28
KIN,42.0
2979,133500.0
300439,17.8
6531,707.0
6430,951.0
MVNE,7.8
095500A,3760.0
AKHI,2.55
DIC,1.44
2823,21.24
000656,7.24
AFT,44.0
SSP,16.2
000700,5.18
000852,4.32
GENTERA,8.11
242040A,2930.0
ROBO,6.99
3708,4660.0
224060A,409.0
PIE,25.58
NETE,11.68
1862,2.31
AAL,28.415
BBGI,2.6
000727,2.71
SIL,45.32
300366,7.66
ISO,2.87
ABC,3.3
CRBN,49.0
LIVX,4.14
3645,53.2
000962,8.37
APAM,35.05
000877,15.73
002322,10.51
002608,6.41
500124,4441.5
281,0.6
052420A,4065.0
PBUS,39.7024
INIX,0.305
CARE,11.88
2399,17.5
MTRE3,13.28
300581,38.73
002217,3.5
1345,2011.0
5358,667.0
300536,14.36
002345,4.31
002561,6.83
GCP,1.04
1736,89.5
GULFNAV,0.345
SND,2.98
GCP,25.12
AHT,40.57
MN,1.6
1753,3.1
XLB,24.84
VDHG,57.57
2269,6990.0
CAS,16.07
GURE,4.8
002238,6.02
III,7.1
GRUMAB,225.09
YESIL,179.1
VEA,49.37
1121,3.9
1717,35.0
066620A,20050.0
DC.,1.2
3990,1782.0
3900,1936.0
086820A,26100.0
EIM,13.08
UFO,0.01075
1431,1825.0
SAFE,82.62
E28,1.24
SDHY,91.94
002889,24.05
T,25.78
002349,4.36
2201,41.4
TERRNT.B,2.76
PAG,66.29
207,0.5
SG,22.45
MEG,6.62
179,23.4
000540A,3900.0
300076,4.58
002838,22.88
MFT,14.32
1417,1702.0
002771,10.26
EPR,49.5
002851,33.15
002352,103.81
00731,50.75
000993,5.95
FRE,10.55
000501,11.29
000701,4.7
300492,51.0
4346,1073.0
238200A,19950.0
ONEX,70.5
218150A,4450.0
300214,8.27
00733,29.25
2809,38.8
ALTA,36.46
2875,4585.0
IRR,3.04
USD,12.14
1379,2100.0
TEP,12.3
MUI,14.7
1052,5.37
UIMM,104.74
300551,25.86
GSF,81.95
300663,18.83
002481,12.92
ZEO,0.074
2484,24.2
000728,8.07
4574,1298.0
1357,415.0
CLDX,27.71
300180,6.23
002461,10.21
002872,4.19
300091,3.78
002259,3.62
206650A,17700.0
MTRN,52.29
2120,425.0
2826,136.4
XACT BULL,547.8
1959,3425.0
4722,1809.0
2535,26.25
MDC,2.94
MCOV.B,194.6
300637,8.48
ALK,66.52
058850A,2755.0
300068,12.11
2032,14.7
ESPO,75.1
002316,3.25
AMP,1.375
2708,4.58
9997,11.72
C,66.74
KTKBANK,70.75
RMS,1.33
AQUA,24.57
002685,4.06
002726,11.49
TM,63.5
4956,21.45
300286,13.34
CNTT.Q,0.71
TEP,274.0
002801,35.18
300415,16.25
2028,24.75
BCP,28.5
8804,1580.0
BWG,12.51
300236,43.3
BOUVET,680.0
RLE,0.083
GHC,4.7
002199,6.06
PFBI,15.47
NAS,38.85
600312,6.52
002102,1.75
047560A,9010.0
A,122.42
CTT,2.52
1822,3685.0
600662,8.3
8011,22.4
GBR,5.75
FF,15.17
1609,8.2
AR,2.27
300080,4.74
BSL,1.05
SNAP,70.45
IMKTA,51.37
T,29.18
FOXT,0.626
MORN,229.03
DIG,116.53
VGIT,68.45
300466,5.33
IDRA,4.3
ULKER,20.52
