companyId,symbol,tradePrice,lastClosePrice,slippage
9735837,600570,93.2,96.48,-3.3996683250414605
83283649,002445,1.84,1.85,-0.5405405405405461
317052810,ENELCHILE,53.41,54.25,-1.5483870967741953
3177568,BOCH,10.4,10.5,-0.952380952380949
12708211,600397,2.47,2.57,-3.8910505836575737
20393450,BAKAB,25.24,26.98,-6.449221645663461
4805361,000970A,8470.0,8550.0,-0.9356725146198785
8288321,1349,4.82,4.98,-3.2128514056224966
12662968,000667,1.85,1.9,-2.631578947368407
276892668,EQAL,42.01,41.89,0.2864645500119334
680568,IGM,34.68,35.06,-1.083856246434689
9835354,2107,24.1,24.15,-0.20703933747411307
878864,EG,0.86,0.905,-4.972375690607745
876133,GAM,2.348,2.206,6.4369900271985525
9448017,600594,5.21,5.28,-1.3257575757575801
9709530,1217,8.74,8.66,0.9237875288683695
226505172,GOCO,1.144,1.232,-7.142857142857151
36593722,SVI,3.69,3.79,-2.638522427440637
11168506,000150,2.29,2.42,-5.371900826446274
83750280,124560A,4845.0,5090.0,-4.813359528487227
61843691,131400A,4630.0,4905.0,-5.6065239551478125
693964,SIG,49.4,49.12,0.5700325732899136
54140747,115390A,14100.0,14000.0,0.7142857142857117
9844282,1414,13.05,13.25,-1.5094339622641506
264227696,3932,4355.0,4340.0,0.3456221198156584
639575435,1987,2.93,2.98,-1.6778523489932806
31130990,USIG,60.07,60.02,0.0833055648117309
83640757,002338,16.33,16.1,1.4285714285714013
117330928,CRL,16.7,17.38,-3.912543153049486
118597866,002579,12.41,12.58,-1.3513513513513487
575835926,6698,44.15,43.7,1.0297482837528404
879947,4092,3215.0,3310.0,-2.8700906344410915
112578214,FDEV,25.75,28.0,-8.03571428571429
30518319,002250,24.06,24.35,-1.190965092402474
7652986,200,16.28,15.24,6.824146981627299
404582,CIR,34.25,35.35,-3.1117397454031193
878697,CIE,22.24,23.12,-3.806228373702436
9708858,600711,8.92,9.7,-8.041237113402055
328020,KOF,43.96,44.12,-0.3626473254759621
114714341,BFIT,34.8,33.65,3.4175334323922613
339745,THRM,72.3,74.25,-2.626262626262632
226294613,LEG,114.24,115.76,-1.3130615065653162
83392187,300457,21.02,20.99,0.14292520247738416
9275254,2301,1417.0,1416.0,0.07062146892655718
331718879,LSXMA,44.12,44.17,-0.11319900384877402
12719021,1718,9.6,9.41,2.019128586609975
103415631,002403,7.5,7.52,-0.26595744680850686
246329778,002849,11.21,11.28,-0.620567375886516
357696,2337,45.65,47.2,-3.2838983050847537
267105,D,72.04,71.17,1.222425179148523
116450048,KNRI11,157.82,158.15,-0.20866266202972383
53121505,601882,12.38,11.77,5.182667799490237
5491045,002091,6.44,6.52,-1.2269938650306678
52994378,300020,7.94,7.9,0.5063291139240533
874445,STG,114.3,115.1,-0.6950477845351855
5546702,2922,2023.0,2019.0,0.1981178801386818
876009,4078,1957.0,1976.0,-0.9615384615384581
263257262,002749,11.15,11.39,-2.1071115013169495
36854371,002252,7.69,7.87,-2.2871664548919868
880850,1951,2729.0,2722.0,0.25716385011020915
2528566,6196,116.5,117.5,-0.8510638297872353
25601614,CGC,0.201,0.203,-0.9852216748768461
6513502,300369,12.91,13.19,-2.1228203184230465
20406517,600082,2.86,2.89,-1.038062283737029
24604,ADS,91.18,87.11,4.672253472620835
251704,ADM,57.02,56.85,0.29903254177661154
105057,CSU,1704.54,1699.55,0.29360713129946703
405008808,1610,5.35,6.26,-14.536741214057514
932791,NHC,1.265,1.245,1.6064257028112205
9317604,600684,2.85,2.89,-1.384083044982698
224763225,1908,12.54,12.76,-1.7241379310344862
62494979,1099,18.12,18.5,-2.054054054054044
9845428,2369,15.75,16.1,-2.1739130434782705
880431,EFR,6.84,7.04,-2.840909090909094
13155312,3661,881.0,920.0,-4.239130434782612
3352516,FN,88.12,88.72,-0.6762849413886274
25388387,297,1.25,1.2,4.166666666666674
880608,1945,902.0,918.0,-1.7429193899782147
7320497,2328,5.93,5.94,-0.16835016835018424
875823,SPT,2.38,2.35,1.2765957446808418
6467070,000637,3.81,3.82,-0.2617801047120394
12467042,SRS,0.676,0.682,-0.8797653958944274
5103221,EKI,6.69,6.79,-1.4727540500736325
9709857,000400,14.03,14.25,-1.543859649122814
27265085,RCM,27.96,27.78,0.647948164146861
59198507,300419,6.67,6.49,2.7734976887519247
111200,ALADO,0.398,0.4,-0.5000000000000004
12726148,000560,3.93,3.85,2.0779220779220786
579183940,SISB,8.45,8.35,1.197604790419149
882797,SNG,6.1,6.5,-6.153846153846154
31193,MTRX,13.72,13.61,0.8082292432035398
6044366,RJF,5.98,5.96,0.3355704697986628
30614595,CPS,27.4,27.74,-1.2256669069935056
8275373,1205,0.395,0.465,-15.053763440860212
49642505,002705,45.79,46.78,-2.1162890123984646
245946967,PADV,41.05,40.81,0.588091154128878
240941024,3836,3.3,3.29,0.3039513677811412
21817445,539957,1135.15,1148.4,-1.1537791710205525
410350,HEIA,85.82,85.66,0.18678496381041576
92089,9424,273.0,258.0,5.813953488372103
25118632,300027,4.04,4.07,-0.7371007371007376
884042,DTC,26.42,26.7,-1.048689138576775
175181,EML,25.54,25.52,0.07836990595611049
22511546,JDG,59.0,63.0,-6.349206349206349
13634801,VEIL,6.03,6.0,0.5000000000000115
266504052,300665,10.12,10.25,-1.2682926829268415
25505392,3900,10.14,10.6,-4.339622641509422
280431891,1365,25760.0,26630.0,-3.2669921141569636
429233,TMDX,36.82,38.69,-4.833290255880063
107478492,DNP,247.4,250.2,-1.1191047162270151
331492281,300640,6.7,6.72,-0.29761904761904656
877603,SMDS,3.84,3.761,2.1005051847912792
47688648,2228,77.5,78.3,-1.0217113665389466
301064828,002875,8.12,8.25,-1.575757575757586
112166293,002714,121.93,124.95,-2.4169667867146805
53146254,002709,85.08,93.11,-8.624207926108907
267609565,002865,20.19,19.44,3.8580246913580307
261221062,002354,2.66,2.69,-1.1152416356877248
280333396,3453,268000.0,260200.0,2.997694081475788
883101,AIA,7.3,6.87,6.259097525473067
107792760,IDGYO,11.07,12.09,-8.436724565756826
874190,ORI,15.03,14.95,0.5351170568561825
283986,KEX,64.45,64.15,0.4676539360872978
108945349,6185,354.2,350.0,1.200000000000001
24355,WMS,108.92,104.02,4.71063257065949
111311606,SCHO,51.36,51.37,-0.019466614755692113
377732,VOW,172.62,174.0,-0.7931034482758559
127095032,VER,38.33,37.15,3.176312247644675
9819897,2425,28.5,28.8,-1.041666666666674
9261940,2819,2621.0,2647.0,-0.9822440498677754
9898376,1714,9.46,9.54,-0.8385744234800652
42915199,1762,58.9,59.4,-0.8417508417508435
875391,119,2.36,2.35,0.42553191489360653
9896792,1805,15.7,13.0,20.769230769230763
9884006,1330,30600.0,31150.0,-1.7656500802568198
570772923,SZNE,33.8002,33.72,0.2378410438908629
266767,DBD,15.24,14.56,4.670329670329676
2033420,BNR,64.96,65.9,-1.4264036418816572
117963369,002859,29.0,27.55,5.263157894736836
36012943,002165,5.78,5.68,1.760563380281699
39505632,EDV,132.01,132.6,-0.4449472096530904
276256236,1364,17530.0,17810.0,-1.5721504772599704
97312900,300058,6.39,6.42,-0.4672897196261738
206210502,300371,12.58,12.49,0.7205764611689425
22939707,VB,213.91,214.68,-0.3586733743245807
633157740,MHH,1.41,1.45,-2.758620689655178
880295,LUN,14.9,15.01,-0.7328447701532292
364040,MT,19.85,19.702,0.7511927723073741
30416106,002719,7.92,7.95,-0.37735849056603765
4493398,PNV,2.42,2.41,0.4149377593360981
560912518,DIVIO B,3.14,3.18,-1.2578616352201255
9776619,600127,9.11,9.54,-4.507337526205446
39393511,GLUC,5.05,5.25,-3.809523809523818
260973811,ASHR,16.61,16.9675,-2.1069692058346967
416365212,00678,28.71,29.87,-3.8834951456310662
405638006,00669R,8.95,8.93,0.2239641657334701
5545420,000778,3.8,3.81,-0.2624671916010568
369303,CIG,136.17,132.59,2.700052794328367
23143993,XBIO,2.76,3.14,-12.101910828025487
69086593,300157,3.75,3.71,1.0781671159029615
5705773,1782,8960.0,8950.0,0.11173184357542443
322404493,000980,2.46,2.23,10.313901345291487
409540249,ICHR,43.8,44.61,-1.81573638197714
52035697,002668,6.02,6.04,-0.33112582781458233
38703002,002187,7.95,7.99,-0.5006257822277815
664220,TFI,7.125,7.095,0.42283298097252064
874489,PPC,8.585,9.3,-7.688172043010755
318913818,RUBY,11.34,12.34,-8.103727714748787
127149531,VAC,164.69,158.91,3.6372789629349978
262733957,300521,17.53,17.35,1.037463976945241
60927742,ATT,5.25,5.24,0.190839694656475
60054960,002291,16.8,17.09,-1.6968987712112305
394988,FEMSAUBD,142.48,144.23,-1.2133398044789523
877504,BGS,2.39,2.445,-2.249488752556228
139741605,300264,3.45,3.31,4.229607250755296
528092,2303,54.7,56.8,-3.697183098591539
11500526,1321,34.4,34.1,0.8797653958944274
572462899,4396,1409.0,1450.0,-2.8275862068965485
20359546,600643,6.95,7.01,-0.8559201141226769
883056,200539,2.55,2.57,-0.7782101167315147
295249,PATK,81.69,81.55,0.17167381974247942
144739464,159948,3.18,3.321,-4.245709123757901
640246396,SATS,23.1,22.5,2.666666666666684
882433,ANNJOO,2.26,2.17,4.147465437788012
169056,Y,626.1,620.0,0.9838709677419288
4069367,2401,25.45,26.8,-5.037313432835822
6562086,1871,676.0,685.0,-1.3138686131386912
263938215,300470,47.4,51.22,-7.458024209293246
9638854,2356,25.0,23.8,5.042016806722693
30145821,AVISA,18.23,18.88,-3.442796610169485
427889,DEA,1.266,1.266,0.0
28946996,3983,1.89,1.92,-1.5625
9834980,175,25.9,28.35,-8.64197530864198
25304285,1582,83.5,84.1,-0.7134363852556391
128034,SGC,0.9425,0.9045,4.201216141514652
6571807,VB,13.67,13.5,1.2592592592592489
9858033,2547,11.4,11.15,2.2421524663677195
261964760,XDEW,71.095,70.21,1.26050420168069
25984514,AVL,0.022,0.024,-8.333333333333337
